Symbol	Description
TLF	Brompton Tech Leaders Income ETF
TLF.U	Brompton Tech Leaders Income ETF USD
TLG	Troilus Gold Corp
TLO	Talon Metals Corp
TLV	Powershares S&P TSX Low Vol ETF
TMD	Titan Medical Inc
TMD.WT.F	Titan Medical Inc WT Cl F
TMD.WT.G	Titan Medical Inc WT Cl G
TMD.WT.H	Titan Medical Inc WT Cl H
TMD.WT.I	Titan Medical Inc WT Cl I
TML	Treasury Metals Inc
TMQ	Trilogy Metals Inc
TMR	Tmac Resources Inc
TNP	Transatlantic Petroleum Ltd
TNT.UN	True North Commercial REIT
TNX	Tanzanian Royalty Exploration Corp
TOG	Torc Oil and Gas Ltd
TOT	Total Energy Services Inc
TOU	Tourmaline Oil Corp
TOY	Spin Master Corp
TPAY	TD Income Builder ETF
TPE	TD International Equity Index ETF
TPH	Temple Hotels Inc
TPRF	TD Active Preferred Share ETF
TPU	TD S&P 500 Index ETF
TPX.A	Molson Coors Canada Inc Cl.A Lv
TPX.B	Molson Coors Canada Inc Cl.B NV
TQCD	TD Q Canadian Dividend ETF
TQGD	TD Q Global Dividend ETF
TQGM	TD Q Global Multifactor ETF
TQSM	TD Q US Small Mid Cap Eqty ETF
TRI	Thomson Reuters Corp
TRI.PR.B	Thomson Reuters Corporation Prf Srs 2
TRIL	Trillium Therapeutics Inc
TRL	Trilogy International Partners Inc
TRP	Tc Energy Corp
TRP.PR.A	Transcanada Corp Pref Ser 1
TRP.PR.B	Transcanada Corp Pref Ser 3
TRP.PR.C	Transcanada Corp Pref Ser 5
TRP.PR.D	Transcanada Corp Pref Ser 7
TRP.PR.E	Transcanada Corp Pref Ser 9
TRP.PR.F	Transcanada Corp Pref Ser 2
TRP.PR.G	Transcanada Corp Pref Ser 11
TRP.PR.H	Transcanada Corp Pref Ser 4
TRP.PR.I	Transcanada Corp Pref Ser 6
TRP.PR.J	Transcanada Corp Pref Ser 13
TRP.PR.K	Transcanada Corp Pref Ser 15
TRQ	Turquoise Hill Resources Ltd
TRST	Canntrust Holdings Inc
TRZ	Transat At Inc
TS.B	Torstar Corp Cl B NV
TSGI	The Stars Group Inc
TSL	Tree Island Steel Ltd
TSU	Trisura Group Ltd
TTP	TD S&P TSX Capped Comp Index ETF
TUHY	TD Active US High Yield Bond ETF
TULB	TD US Long Term Treasury Bond ETF
TUSB	TD Select U.S. Short Term Corporate Bond
TUSB.U	TD Select US Short Term Corp Bnd ETF USD
TUT.UN	Top 20 US Dividend Trust Cls A Units
TV	Trevali Mining Corp
TVA.B	Tva Group Inc Cl.B NV
TVE	Tamarack Valley Energy Ltd
TVK	Terravest Capital Inc
TWC	Twc Enterprises Limited
TWM	Tidewater Midstream and Infras Ltd
TWM.DB	Tidewater Midstream Infras 5.5 Pct Debs
TXF	CI First Asset Tech Giants Covered Call ETF
TXF.B	CI First Asset Tech Giants Cov Call Unheg
TXG	Torex Gold Resources Inc
TXP	Touchstone Exploration Inc
TXT.PR.A	Top 10 Split Trust Pref A
TXT.UN	Top 10 Split Trust
TZS	Trez Capital Senior Mortgage Inv Corp
U	Uranium Participation CO
UEX	Uex Corp
UFS	Domtar Corp
ULV.C	Powershares Sp500 Low Volatility ETF
ULV.F	Powershares Sp500 Low Volatility ETF
ULV.U	Invesco Sp500 Low Volatility ETF USD
UMI	Wisdomtree US Midcap Div Idx Heg ETF
UMI.B	Wisdomtree US Midcap Div Idx Unheg ETF
UNC	United Corp Ltd
UNC.PR.B	United Corp 59 Pr
UNC.PR.C	United Corp 63 Pr
UNI	Unisync Corp Class B
UNS	Uni Select Inc
UR	Urthecast Corp
URB	Urbana Corporation
URB.A	Urbana Corporation A NV
URE	Ur-Energy Inc
USA	Americas Silver Corp
USB	Powershares Lad US 0 To 5 Yr Corp Bd ETF
USB.U	Powershares Lad US 0 To 5 Yr Corp Bd ETF USD
USF.UN	US Financials Income Fund
UTE.UN	Canadian Utilities Telecom Inc Fd
UWE	U3O8 Corp
UXM	CI First Asset Morningstar US Div Tgt 50 ETF
UXM.B	CI First Asset Morningstar US Div Tgt 50 ETF Unh
VA	Vanguard FTSE Dev Asia Pac All Cap ETF
VAB	Vanguard CDN Aggregate Bond Index ETF
VAH	Vanguard FTSE Dev Asia Pac ETF CAD Hdg
VB	Versabank
VB.PR.A	Versabank Pref Ser 1
VB.PR.B	Versabank Pref Ser 3
VBAL	Vanguard Balanced ETF Portfolio
VBG	Vanguard Global Ex US Agg Bnd ETF
VBU	Vanguard US Agg Bond Index ETF CAD
VCB	Vanguard CDN Corporate Bond Index ETF
VCE	Vanguard FTSE Canada Index ETF
VCIP	Vanguard Conservative Income ETF
VCM	Vecima Networks Inc
VCN	Vanguard FTSE Canada All Cap ETF
VCNS	Vanguard Conservative ETF Portfolio
VDU	Vanguard FTSE Developed AC Ex US ETF
VDY	Vanguard FTSE CDN High Div Yld Index ETF
VE	Vanguard FTSE Dev Europe All Cap ETF
VEE	Vanguard FTSE Emerging Mkts All Cap ETF
VEF	Vanguard FTSE Dev AC Ex US ETF CAD Hdg
VEH	Vanguard FTSE Dev Europe ETF CAD Hdg
VEQT	Vanguard All Equity ETF Portfolio
VET	Vermilion Energy Inc
VFF	Village Farms International Inc
VFV	Vanguard S&P 500 Index ETF
VGAB	Vanguard Global Aggregate Bond Index ETF
VGCX	Victoria Gold Corp
VGG	Vanguard US Div Appr ETF
VGH	Vanguard US Div Appr ETF CAD Hdg
VGRO	Vanguard Growth ETF Portfolio
VGV	Vanguard CDN Government Bond Index ETF
VGZ	Vista Gold Corp
VI	Vanguard FTSE Dev All Cap Na ETF
VIDY	Vanguard FTSE Dev Ex Na High Div Yld ETF
VII	Seven Generations Energy Ltd
VIU	Vanguard FTSE Dev All Cap Na ETF
VIVO	Vivo Cannabis Inc
VLB	Vanguard CDN Long Term Bond Index ETF
VLE	Valeura Energy Inc
VLN	Velan Inc Sv
VLQ	Vanguard Glob Liquidity Factor ETF
VMD	Viemed Healthcare Inc
VMO	Vanguard Glob Momentum Factor ETF
VNP	5N Plus Inc
VRE	Vanguard FTSE CDN Capped REIT Index ETF
VSB	Vanguard CDN Short-Term Bond Index ETF
VSC	Vanguard CDN Short Term Corp Bd ETF
VSG	Vanguard CDN Sh Term Govt Bd Index ETF
VSP	Vanguard S&P 500 Index ETF CAD Hdg
VUN	Vanguard US Total Market ETF
VUS	Vanguard US Total Mkt ETF CAD Hdg
VVL	Vanguard Glob Val Factor ETF
VVO	Vanguard Global Min Vol ETF
VXC	Vanguard FTSE Glbl All Cap Ex Can ETF
VXM	CI First Asset Morningstar Intl Value ETF
VXM.B	CI First Asset Morningstar Intl Value ETF Unheg
W.PR.K	Westcoast Energy Inc Pref Ser 10
W.PR.M	Westcoast Energy Inc Pref Ser 12
WBR	Waterloo Brewing Ltd.
WCM.A	Wilmington Capital Mgmt Inc Cl A NV
WCM.B	Wilmington Capital Management Cl B
WCN	Waste Connections Inc
WCP	Whitecap Resources Inc
WDO	Wesdome Gold Mines Ltd
WEED	Canopy Growth Corp
WEF	Western Forest Products Inc
WELL	Well Health Technologies Corp
WFC	Wall Financial
WFS	World Financial Split Corp
WFS.PR.A	World Financial Split Corp
WFT	West Fraser Timber CO Ltd
WILD	Wildbrain Ltd.
WILD.DB	Wildbrain Ltd 5.875 Pct Debs
WIR.R	Wpt Industrial REIT Receipts USD
WIR.U	Wpt Industrial REIT USD
WIR.UN	Wpt Industrial REIT Units
WJX	Wajax Corp
WJX.DB	Wajax Corporation 6.00 Pct Debs
WLLW	Willow Biosciencesinc
WM	Wallbridge Mining Company Ltd
WN	Weston George
WN.PR.A	George Weston Pref Ser 1
WN.PR.C	George Weston 5.20% Pref Ser III
WN.PR.D	George Weston 5.2% Pref Ser IV
WN.PR.E	George Weston 4.75% Pref Ser V
WOMN	BMO Women IN Leadership Fund
WPK	Winpak Ltd
WPM	Wheaton Precious Metals Corp
WPRT	Westport Fuel Systems Inc
WRG	Western Energy Services Corp
WRN	Western Copper and Gold Corp
WRX	Western Resources Corp
WSP	WSP Global Inc
WTE	Westshore Terminals Investment Corp
WXM	CI First Asset Morningstar Cda Momentum ETF
X	Tmx Group Limited
XAM	Xanadu Mines Ltd
XAU	Goldmoney Inc
XAW	Ishares Core MSCI All Cntry Ex Can ETF
XAW.U	Ishares Core MSCI All Ex Can ETF USD
XBAL	Ishares Core Balanced ETF Portfolio
XBB	Ishares Core CDN Universe Bond ETF
XBM	Ishares S&P TSX Global Base Mtls ETF
XCB	Ishares Canadian Corporate Bond ETF
XCD	Ishares S&P Global Cons Disc ETF
XCG	Ishares Canadian Growth Index ETF
XCH	Ishares China Index ETF
XCNS	Ishares Core Conservative Balanced ETF
XCS	Ishares S&P TSX Smallcap Index ETF
XCT	Exactearth Ltd
XCV	Ishares Canadian Value Index ETF
XDG	Ishares Core MSCI Glo Qlty Div ETF
XDG.U	Ishares Core MSCI Glo Qlty Div ETF USD
XDGH	Ishares Core MSCI Glo Qlty Div ETF
XDIV	Ishares Core MSCI CAD Qlty Div ETF
XDU	Ishares Core MSCI US Qlty Div ETF
XDU.U	Ishares Core MSCI US Qlty Div ETF USD
XDUH	Ishares Core MSCI US Qlty Div ETF
XDV	Ishares Canadian Select Div Index ETF
XEB	Ishares JP Morgan USD Emerg Mkts Bd ETF
XEC	Ishares Core MSCI Emerging Mkts IMI ETF
XEC.U	Ishares Core MSCI Emrgng Mkt IMI ETF
XEF	Ishares Core MSCI EAFE IMI Index ETF
XEF.U	Ishares Core MSCI EAFE IMI Index ETF
XEG	Ishares S&P TSX Capped Energy Index ETF
XEH	Ishares MSCI Europe IMI Index ETF
XEI	Ishares S&P TSX Comp High Div Index ETF
XEM	Ishares MSCI Emerging Markets ETF
XEN	Ishares Jantzi Social Index ETF
XEQT	Ishares Core Equity ETF
XESG	Ishares ESG MSCI Cda Index ETF
XEU	Ishares MSCI Europe IMI Index ETF
XFA	Ishares Edge MSCI Multifact USA Idx CAD
XFC	Ishares Edge MSCI Multifact Can ETF
XFF	Ishares Edge MSCI Multifact EAFE Idx CAD
XFH	Ishares Core MSCI EAFE IMI Index ETF
XFI	Ishares Edge MSCI Multifact EAFE ETF
XFN	Ishares S&P TSX Capped Financials ETF
XFR	Ishares Floating Rate Index ETF
XFS	Ishares Edge MSCI Multifact USA ETF
XGB	Ishares Canadian Govt Bond Index ETF
XGD	Ishares S&P TSX Global Gold Index ETF
XGI	Ishares S&P Global Industrials ETF
XGRO	Ishares Core Growth ETF Portfolio
XHB	Ishares CDN Hybrid Corp Bond ETF
XHC	Ishares Global Healthcare Index ETF
XHD	Ishares US High Div Equity Index ETF
XHU	Ishares US High Div Equity Index ETF
XHY	Ishares US High Yield Bond Index ETF
XIC	Ishares Core S&P TSX Capped Comp ETF
XID	Ishares India Index ETF
XIG	Ishares US IG Corporate Bond Index ETF
XIN	Ishares MSCI EAFE Index ETF
XINC	Ishares Core Income Balanced ETF
XIT	Ishares S&P TSX Capped Info Tech ETF
XIU	Ishares S&P TSX 60 Index ETF
XLB	Ishares Core CDN Long Term Bond ETF
XMA	Ishares S&P TSX Capped Materials ETF
XMC	Ishares S&P US Midcap Index ETF
XMC.U	Ishares SP US Midcap ETF USD
XMD	Ishares S&P TSX Completion Index ETF
XMF.A	M Split Corp Capital Shares 2014
XMF.PR.B	M Split Corp Class I Pref Shares
XMF.PR.C	M Split Corp Class II Pref Shares 2014
XMH	Ishares S&P US Midcap Index ETF CAD Hgd
XMI	Ishares Edge MSCI Min Vol EAFE ETF
XML	Ishares Edge MSCI Mv EAFE ETF CAD Hgd
XMM	Ishares Edge MSCI Min Vol Emerg ETF
XMS	Ishares Edge MSCI Mv USA ETF CAD Hgd
XMTM	Ishares Edge MSCI USA Momnt Fctr ETF
XMU	Ishares Edge MSCI Min Vol USA ETF
XMU.U	Ishares Edge MSCI Min Vol USA Index ETF
XMV	Ishares Edge MSCI Min Vol Can ETF
XMW	Ishares Edge MSCI Min Vol Gbl ETF
XMY	Ishares Edge MSCI Mv Glbl ETF CAD Hgd
XPF	Ishares S&P TSX Na Pref Stock ETF
XQB	Ishares High Qlty Canadian Bond ETF
XQLT	Ishares Edge MSCI USA Qlty Fctr Indx ETF
XQQ	Ishares Nasdaq 100 Index ETF
XRB	Ishares CDN Real Return Bond Index ETF
XRE	Ishares S&P TSX Capped REIT Index ETF
XSAB	Ishares ESG CDN Agg Bond Index ETF
XSB	Ishares Core CDN Short Trm Bond ETF
XSC	Ishares Cons ST Strat Fix Inc ETF
XSE	Ishares Cons Strat Fix Inc ETF
XSEA	Ishares ESG MSCI EAFE Index ETF
XSEM	Ishares ESG MSCI Emerg Mkts Index ETF
XSH	Ishares Core CDN ST Corp Maple Bnd ETF
XSI	Ishares Short Term Strategic FI ETF
XSMC	Ishares SP US Small Cap Index ETF
XSMH	Ishares SP US Small Cap ETF CAD Hdg
XSP	Ishares Core S&P 500 ETF CAD Hdg ETF
XSQ	Ishares ST HI Qlty CDN Bond ETF
XST	Ishares S&P TSX Capped Cons Stpl ETF
XSTB	Ishares ESG CDN ST Bond Index ETF
XSU	Ishares US Small Cap Index ETF
XSUS	Ishares ESG MSCI USA Index ETF
XTC	Exco Tech
XTD	Tdb Split Corp Class A Shares
XTD.PR.A	Tdb Split Corp Priority Equity Shares
XTG	Xtra Gold Resources Corp
XTR	Ishares Diversified Monthly Income ETF
XUH	Ishares Core S&P US Total Mkt ETF CAD Heg
XUS	Ishares Core S&P 500 Index ETF
XUS.U	Ishares Core SP 500 Index ETF
XUT	Ishares S&P TSX Capped Utilities ETF
XUU	Ishares Core S&P US Total Market ETF
XUU.U	Ishares Core SP US Total Market ETF USD
XVLU	Ishares Edge MSCI USA Value Fctr  ETF
XWD	Ishares MSCI World Index ETF
XXM	CI First Asset Morningstar US Value Index ETF
XXM.B	CI First Asset Morningstr US Value Idx Unhdgd Et
Y	Yellow Pages Limited
Y.WT	Yellow Pages Limited WT
YCM	Commerce Split Corp Capital Shares
YCM.PR.A	Commerce Split Corp Class I Pref Shares
YCM.PR.B	Commerce Split Corp Class II Pref Shares
YGR	Yangarra Resources Ltd
YPG.DB	Yp Digital and Media Sol 8 Pct Debs
YRB	Yorbeau Resources Inc
YRI	Yamana Gold Inc
YXM	CI First Asset Morningstar US Momentum Index ETF
YXM.B	CI First Asset Morningstar US Momentum Unhdgd Et
ZAG	BMO Aggregate Bond Index ETF
ZAR	Zargon Oil and Gas Ltd
ZBAL	BMO Balanced ETF
ZBBB	BMO BBB Corporate Bond Index ETF
ZBK	BMO Equal Weight US Bank ETF
ZCB	BMO Corporate Bond Index ETF
ZCH	BMO China Equity Index ETF
ZCM	BMO Mid Corporate Bond ETF
ZCN	BMO S&P TSX Capped Comp ETF
ZCON	BMO Conservative ETF
ZCPB	BMO Core Plus Bond Fund
ZCS	BMO Short Corp Bond ETF
ZCS.L	BMO Short Corporate Bond ETF
ZDB	BMO Discount Bond ETF
ZDH	BMO Intl Div CAD Hedge ETF
ZDI	BMO International Dividend ETF
ZDJ	BMO DJIA Hedged To CAD Index ETF
ZDM	BMO MSCI EAFE Hedged To CAD Index ETF
ZDV	BMO Canadian Dividend ETF
ZDY	BMO US Dividend ETF CAD
ZDY.U	BMO US Dividend ETF USD
ZEA	BMO MSCI EAFE ETF
ZEB	BMO S&P TSX Equal Weight Banks Index ETF
ZEF	BMO Emg Mkt Bond Hdgd To CAD ETF
ZEM	BMO MSCI Emerging Markets Index ETF
ZENA	Zenabis Global Inc
ZENA.WT	Zenabis Global Inc WT
ZEO	BMO S&P TSX Eql Weight Oil Gas Index ETF
ZEQ	BMO MSCI EU Hq Hcad ETF
ZESG	BMO Balanced ESG ETF
ZFC	BMO Sia Focused Canadian Equity Fund
ZFH	BMO Floating Rate High Yield ETF
ZFL	BMO Long Fed Bond Index ETF
ZFM	BMO Mid Federal Bond Index ETF
ZFN	BMO Sia Focused North American Equity Fu
ZFS	BMO Short Federal Bond Index ETF
ZFS.L	BMO Short Federal Bond Index ETF
ZGB	BMO Government Bond Index ETF
ZGD	BMO S&P TSX Eql Weight Glbl Gold ETF
ZGI	BMO Global Infrastructure Index ETF
ZGQ	BMO MSCI All Cntry Wrld High Qlty ETF
ZGRO	BMO Growth ETF
ZGSB	BMO Global Strategic Bond Fund
ZHP	BMO US Pref Share Hgd To CAD ETF
ZHU	BMO Equal Weight US Health Care Idx ETF
ZHY	BMO High Yld US Corp Bnd Hdg CAD ETF
ZIC	BMO Mid Term US IG Corp Bond ETF
ZIC.U	BMO Mid Term US IG Corp Bond ETF USD
ZID	BMO India Equity Index ETF
ZIN	BMO S&P TSX Equal Weight Indstrl ETF
ZJG	BMO Junior Gold Index ETF
ZJK	BMO High Yield US Corp Bond ETF
ZJN	BMO Junior Gas Index ETF
ZJO	BMO Junior Oil Index ETF
ZLB	BMO Low Volatility CAD Equity ETF
ZLC	BMO Long Corporate Bond Index ETF
ZLD	BMO Low Vol Intl Eqty Hed To CAD ETF
ZLE	BMO Low Vol Emerg Mkt Equity ETF
ZLH	BMO Low Vol US Eqty Hed To CAD ETF
ZLI	BMO Low Vol Intl Equity ETF
ZLU	BMO Low Volatility US Equity ETF CAD
ZLU.U	BMO Low Volatility US Equity ETF USD
ZMBS	BMO Canadian MBS Index ETF
ZMI	BMO Monthly Income ETF
ZMID	BMO SP US Mid Cap Index ETF
ZMID.F	BMO SP US Mid Cap Index ETF Hedged
ZMP	BMO Mid Provincial Bond Index ETF
ZMSB	BMO Global Multi Sector Bond Fund
ZMT	BMO Sptsx Eql Wgt Glb Metal Hed CAD ETF
ZMU	BMO Mid Term US IG Corp Bd Hgd CAD Idx
ZNQ	BMO Nasdaq 100 Equity Index ETF
ZPAY	BMO Premium Yield ETF
ZPAY.F	BMO Premium Yield ETF Hedged
ZPAY.U	BMO Premium Yield ETF USD
ZPH	BMO US Put Write Hedged To CAD ETF
ZPL	BMO Long Provincial Bond Index ETF
ZPR	BMO Laddered Pref Share ETF
ZPS	BMO Short Provincial Bond Index ETF
ZPS.L	BMO Short Provincial Bond Index ETF
ZPW	BMO US Put Write ETF
ZPW.U	BMO US Put Write ETF USD
ZQB	BMO High Quality Corporate Bond Idx ETF
ZQQ	BMO Nasdaq 100 Hedged To CAD Index ETF
ZRE	BMO Equal Weight Reits Index ETF
ZRR	BMO Real Return Bond Index ETF
ZSB	BMO Short Term Bond Idx ETF
ZSML	BMO SP US Small Cap Index ETF
ZSP	BMO S&P 500 Index ETF
ZSP.U	BMO S&P 500 Index ETF USD
ZST	BMO Ultra Short Term Bond ETF
ZST.L	BMO Ultra Short Term Bond ETF
ZSU	BMO ST US IG Corp Bond Hcad ETF
ZUB	BMO Eql Wgt US Bank Hdgd To CAD ETF
ZUD	BMO US Dividend Hedged To CAD ETF
ZUE	BMO S&P 500 Hedged CAD ETF
ZUH	BMO Eql Wgt US Hcare Hdgd To CAD ETF
ZUP	BMO US Pref Share Index ETF
ZUP.U	BMO US Pref Share Index ETF
ZUQ	BMO MSCI USA High Quality Index ETF
ZUS.U	BMO Ultra Short Term US Bond ETF USD
ZUS.V	BMO Ultra Short Term US Bond ETF USD Acc
ZUT	BMO Equal Weight Utilities Index ETF
ZVC	BMO MSCI Cda Value Index ETF
ZVI	BMO MSCI EAFE Value Index ETF
ZVU	BMO MSCI USA Value Index ETF
ZWA	BMO Covered Call DJIA CAD ETF
ZWB	BMO Covered Call Canadian Banks ETF
ZWC	BMO CDN High Div Covered Call ETF
ZWE	BMO Europe High Div CC CAD Hedge ETF
ZWG	BMO Gbl High Dividend Covered Call ETF
ZWH	BMO US High Dividend Covered Call ETF
ZWH.U	BMO US High Dividend Cov Call ETF USD
ZWK	BMO Covered Call US Banks ETF
ZWP	BMO Europe High Div Cov Call ETF
ZWS	BMO US High Div Cov Call Hgd ETF
ZWU	BMO Covered Call Utilities ETF
ZXM	CI First Asset Morningstar Intl Momentum ETF
ZXM.B	CI First Asset Morningstar Intl Momentum ETF
ZZZ	Sleep Country Canada Holdings Inc
ZZZD	BMO Tactical Dividend ETF Fund
