Date,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Vol_10wk_ma,Close_10wk_ma,Close_40wk_ma,Close_5d_ma,Close_10d_ma,Close_20d_ma,DailyLag,DailyReturn
2017-11-06,2017-11-06,1109.15,1125.41,1108.77,1120.66,3313857.0,0.0,1.0,1109.15,1125.41,1108.77,1120.66,3313857.0,3404557.28,1246.9907142857148,,1125.4959999999985,1128.4489999999983,1146.5729999999994,1123.17,0.00223975157496481
2017-11-03,2017-11-03,1091.15,1112.68,1088.52,1111.6,3685172.0,0.0,1.0,1091.15,1112.68,1088.52,1111.6,3685172.0,3390359.32,1242.1751428571433,,1121.9819999999986,1126.9779999999985,1145.0744999999993,1120.66,0.008150413817920255
2017-11-02,2017-11-02,1097.81,1101.94,1086.87,1094.22,3658748.0,0.0,1.0,1097.81,1101.94,1086.87,1094.22,3658748.0,3384714.14,1236.924571428572,,1115.7559999999987,1123.4119999999984,1143.0879999999993,1111.6,0.015883460364460422
2017-11-01,2017-11-01,1105.4,1108.97,1096.74,1103.68,3723680.0,0.0,1.0,1105.4,1108.97,1096.74,1103.68,3723680.0,3355852.78,1231.9621428571434,,1110.6659999999988,1120.0509999999983,1140.1544999999994,1094.22,-0.008571325021745513
2017-10-31,2017-10-31,1109.0,1110.54,1101.12,1105.28,3428461.0,0.0,1.0,1109.0,1110.54,1101.12,1105.28,3428461.0,3282198.56,1227.544571428572,,1107.0879999999986,1117.9099999999985,1136.5809999999994,1103.68,-0.001447596988998212
2017-10-30,2017-10-30,1095.01,1122.79,1093.56,1110.85,6516639.0,0.0,1.0,1095.01,1122.79,1093.56,1110.85,6516639.0,3305317.72,1223.610571428572,,1105.1259999999988,1115.3109999999983,1134.0599999999993,1105.28,-0.005014178331907981
2017-10-27,2017-10-27,1058.14,1105.58,1050.55,1100.95,16360527.0,0.0,1.0,1058.14,1105.58,1050.55,1100.95,16360527.0,3571021.96,1220.2100000000005,,1102.9959999999987,1112.4889999999984,1129.4274999999993,1110.85,0.00899223397974458
2017-10-26,2017-10-26,980.33,982.9,968.55,972.43,3670282.0,0.0,1.0,980.33,982.9,968.55,972.43,3670282.0,3591237.46,1214.809428571429,,1078.6379999999988,1097.1969999999985,1118.2574999999993,1100.95,0.13216375471756336
2017-10-25,2017-10-25,978.0,984.44,966.24,972.91,2969295.0,0.0,1.0,978.0,984.44,966.24,972.91,2969295.0,3577689.74,1208.468428571429,,1052.4839999999988,1081.5749999999985,1107.6029999999994,972.43,-0.0004933652650296327
2017-10-24,2017-10-24,969.0,979.85,965.0,975.9,2666782.0,0.0,1.0,969.0,979.85,965.0,975.9,2666782.0,3547474.72,1201.7978571428575,,1026.6079999999988,1066.8479999999986,1098.5899999999995,972.91,-0.0030638385080438146
